id,season,war
1011011,1942,5.8
1011011,1946,1.8
1011011,1947,3.9
1011011,1948,1.4
1011011,1949,3.6
1011011,1950,6.9
1011011,1951,3.8
1011011,1952,4.9
1011011,1953,3.2
1011011,1954,0.3
1011011,1955,0.9
1011011,1956,-0.1
1002451,1906,-0.1
1002451,1907,0.1
1002451,1908,1.6
1002451,1909,10.0
1002451,1910,9.7
1002451,1911,6.8
1002451,1912,8.3
1002451,1913,9.0
1002451,1914,8.3
1002451,1915,9.3
1002451,1916,6.4
1002451,1917,5.2
1002451,1918,3.1
1002451,1919,5.3
1002451,1920,8.2
1002451,1921,4.2
1002451,1922,3.5
1002451,1923,5.8
1002451,1924,4.9
1002451,1925,4.7
1002451,1926,3.9
1002451,1927,2.1
1002451,1928,0.2
1002451,1929,-0.1
1002451,1930,0.0
1013485,1897,1.3
1013485,1898,3.6
1013485,1899,6.0
1013485,1900,6.9
1013485,1901,7.5
1013485,1902,7.5
1013485,1903,8.4
1013485,1904,9.0
1013485,1905,10.8
1013485,1906,9.6
1013485,1907,9.2
1013485,1908,11.8
1013485,1909,9.7
1013485,1910,6.2
1013485,1911,7.0
1013485,1912,8.5
1013485,1913,3.0
1013485,1914,3.5
1013485,1915,5.5
1013485,1916,3.0
1013485,1917,0.2
547,1991,4.3
547,1992,4.5
547,1993,5.5
547,1994,7.8
547,1995,4.5
547,1996,7.7
547,1997,8.0
547,1998,6.7
547,1999,7.8
547,2000,5.9
547,2001,5.2
547,2002,4.8
547,2003,3.7
547,2004,3.6
547,2005,0.0
1002914,1921,-0.1
1002914,1922,0.0
1002914,1923,-0.1
1002914,1924,4.9
1002914,1925,7.5
1002914,1926,5.1
1002914,1927,2.1
1002914,1928,3.4
1002914,1929,5.6
1002914,1930,7.0
1002914,1931,5.0
1002914,1932,1.9
1002914,1933,1.9
1002914,1934,3.9
1002914,1935,0.6
1002914,1936,3.8
1002914,1937,-0.4
1002914,1938,0.7
1013597,1926,5.5
1013597,1927,7.4
1013597,1928,7.1
1013597,1929,5.5
1013597,1930,4.6
1013597,1931,4.9
1013597,1932,5.6
1013597,1933,4.3
1013597,1934,6.3
1013597,1935,4.3
1013597,1936,7.1
1013597,1937,4.5
1013597,1938,1.2
1013597,1939,1.9
1013597,1940,0.3
1013597,1941,0.8
1013597,1942,1.1
1013597,1943,1.7
1013597,1944,0.5
1013597,1945,0.0
1001400,1973,-0.3
1001400,1974,0.7
1001400,1975,5.4
1001400,1976,7.0
1001400,1977,7.1
1001400,1978,4.8
1001400,1979,8.3
1001400,1980,9.1
1001400,1981,3.0
1001400,1982,5.7
1001400,1983,4.1
1001400,1984,3.0
1001400,1985,8.3
1001400,1986,3.8
1001400,1987,3.2
1001400,1988,5.3
1001400,1989,1.6
1001400,1990,4.2
1001400,1991,0.3
1001400,1992,0.3
1001400,1993,-0.2
455,1989,-0.1
455,1990,3.0
455,1991,3.8
455,1992,5.3
455,1993,4.7
455,1994,4.4
455,1995,4.6
455,1996,1.3
455,1997,9.1
455,1998,5.0
455,1999,4.7
455,2000,1.9
455,2001,7.6
455,2002,5.4
455,2003,3.2
